id,name,team,role,credits,overseas
p134,Karishma Ramharack,WI-W,BOWL,8,
p135,Stafanie Taylor,WI-W,AR,8.5,
p136,Chamari Athapaththu,SL-W,AR,10,
p137,Hasini Perera,SL-W,BAT,8,
p138,Vishmi Gunarathne,SL-W,BAT,8,
p139,Harshitha Samarawickrama,SL-W,BAT,8.5,
p140,Imesha Dulani,SL-W,BAT,7.5,
p141,Nilakshika Silva,SL-W,BAT,8,
p142,Kaveesha Dilhari,SL-W,AR,8,
p143,Hansima Karunatne,SL-W,BAT,7.5,
p144,Kaushini Nuthyangana,SL-W,WK,7.5,
p145,Sugandika Dasanayaka,SL-W,BOWL,7.5,
p146,Nimasha Madushani,SL-W,AR,7.5,
p147,Shashini Gimhani,SL-W,BOWL,7.5,
p148,Kawya Kavindi,SL-W,BOWL,7.5,
p149,Malki Madara,SL-W,BOWL,7.5,
p150,Mithali Ayodhya,SL-W,BOWL,8,
p151,Kathryn Bryce,SCO-W,AR,8,
p152,Chloe Abel,SCO-W,BOWL,8,
p153,Olivia Bell,SCO-W,AR,8,
p154,Sarah Bryce,SCO-W,WK,8,
p155,Darcey Carter,SCO-W,AR,8,
p156,Priyanaz Chatterji,SCO-W,AR,8,
p157,Gabriella Fontenla,SCO-W,BOWL,7.5,
p158,Katherine Fraser,SCO-W,AR,8,
p159,Kirstie Gordon,SCO-W,BOWL,8,
p160,Ailsa Lister,SCO-W,WK,8,
p161,Maisie Maceira,SCO-W,BOWL,7.5,
p162,Abtaha Maqsood,SCO-W,BOWL,8,
p163,Megan McColl,SCO-W,BAT,8,
p164,Rachel Slater,SCO-W,BOWL,8,
p165,Pippa Sproul,SCO-W,WK,7.5,
p166,Gaby Lewis,IRE-W,AR,8.5,
p167,Orla Prendergast,IRE-W,AR,8.5,
p168,Ava Canning,IRE-W,BOWL,7.5,
p169,Christina Coulter Reilly,IRE-W,WK,7.5,
p170,Alana Dalzell,IRE-W,BOWL,7.5,
p171,Georgina Dempsey,IRE-W,AR,8,
p172,Amy Hunter,IRE-W,WK,8.5,
p173,Arlene Kelly,IRE-W,AR,8,
p174,Louise Little,IRE-W,BOWL,8,
p175,Aimee Maguire,IRE-W,BOWL,7.5,
p176,Lara McBride,IRE-W,BOWL,7.5,
p177,Cara Murray,IRE-W,BOWL,8,
p178,Leah Paul,IRE-W,AR,8,
p179,Rebecca Stokell,IRE-W,BAT,8,
p180,Alice Tector,IRE-W,AR,7.5,
